size,source,count,timeout_count,mean_solve_time_s,median_solve_time_s,stddev_solve_time_s,min_solve_time_s,max_solve_time_s
10x10,played_game,30,0,0.011045032233369056,0.010897888500039699,0.0025545989229022307,0.007865568000170242,0.01602847400022256
10x10,uniform_random,30,0,0.011855191066683802,0.011254098499989595,0.0027826410698140133,0.008045564999974886,0.019505124000033902
20x20,played_game,30,0,0.011218724300010762,0.01109801749998951,0.0012732280649781686,0.009219960000109495,0.015015667999932703
20x20,uniform_random,30,0,0.01374647916665405,0.0134821335000197,0.0015073853446745447,0.010613876999968852,0.01747394600010921
30x30,played_game,30,0,0.01564899713334095,0.013545706500053711,0.00414081811438191,0.010518698999931075,0.024783327000022837
30x30,uniform_random,30,0,0.01893013163332095,0.017398975999867616,0.004413276527407963,0.014048532999822783,0.03273438599990186
40x40,played_game,30,0,0.01875200310000764,0.018578656999920895,0.004123639628975066,0.011276848000079553,0.026846107999972446
40x40,uniform_random,30,0,0.026560753433318495,0.025262823000161916,0.005133395553885978,0.021160980000104246,0.04216963500016391
50x50,played_game,30,0,0.023946165600000312,0.02355363000003763,0.004200691533253787,0.01734427299993513,0.0392332379999516
50x50,uniform_random,30,0,0.039471519800008535,0.03751018150012442,0.006262140534586401,0.03175943099995493,0.05354829499992775
60x60,played_game,30,0,0.033984680300000035,0.03355075549995945,0.006504871617053394,0.02422306700009358,0.05467064300000857
60x60,uniform_random,30,0,0.05719008679999054,0.05407125950000591,0.008964757188375302,0.04730123099989214,0.08175626899992494
